Title	Who	What	Link	Category
Bits of Cloud	Abdul Karim Memon		https://bitsofcloud.substack.com/	
The Insight Tapestry	Abhishek Singh		https://substack.com/@abhishek450579/p-157665021	
I Am Finding Me	Akshayan	Substack - Exploring music, fitness, and creativity as tools for self-discovery	https://substack.com/@iamfindingme	
At Wit’s End	Amal Mohan	Newsletter - An introspective odyssey into making sense of a world that never has.	https://amal23mohan.substack.com/	
Fridgemagnet Tales	Anand Menon	YouTube travel vlog	https://www.youtube.com/@FridgeMagnetTales	
Just Your Normal Missfit	Ann Thomas	Instagram page on neurodiversity	https://www.instagram.com/justyournormalmissfit?igsh=eXd5bHFsOXV4aHhs	
My Saree Stories	Dr. Anshu	Saree Blog	https://dranshublog.com/saree-stories21/	
Maximum Kitty	Anuj	Maximum Kitty is our humble ode to the only true Goddess of Points and Miles, Maximum Kitty.	https://maximumkitty.substack.com/	
Speak with Anuj	Anuj Gurwara		https://www.youtube.com/@speakwithanuj	
Anuroop Krishnan Photography	Anuroop Krishnan	YouTube on Nature photography and videography	https://www.youtube.com/@AnuroopKrishnanPhotography	
No Stamps	Apratim Mukherjee	No Stamps is my personal space to explore, reflect, and share - I’ll explore subjects close to my heart, including global affairs, business, investments, history, food, drinks, culture, travel, and sports.	https://nostamps.substack.com/	
While my sitar gently sleeps	Asim Kulkarni	A journey of a 30 something year old, who wants to pick up a new instrument every summer afternoon.	https://asimkulkarni.substack.com/	
Animal Spirits & Other Algorithms	Atul Kumar		https://marketsandmachine.substack.com/	
What colour is Red?	Bharg Mankodi	We are three friends who love quizzing and silly game shows, so we decided to combine those two things and are creating new game show and quiz formats.	https://www.youtube.com/watch?v=wQyO0hdOu5A	
How Women Win!	Deepanjali Khurana	Practical discussions and advice for young women to WIN in life!	https://youtu.be/6IXuojN-8t8?si=qgQRbDKY84kZya4g	
That’s Baffling	Devansh Malik	Absurd Quiz Show	https://www.youtube.com/@ThatsBaffling	
Joyful Budget Girl	Fairy Dharwat	Instagram page on exploring happiness in late-stage capitalism	https://www.instagram.com/joyful.budgetful.one/	
About Murder, She Wrote	Gowri N Kishore	Reflections and recommendations about detective fiction and murder mystery from a lifelong fan of the genre	https://aboutmurdershewrote.substack.com	
Em Dash—A slice of life newsletter	Hiteshi Ajmera	I believe in finding the extraordinary in the mundaneness of my everyday life.	https://hiteshiajmera.substack.com/	
Under Construction	Isha Bhamre		https://triestowrite.substack.com/	
	Indrajeet Deshpande		https://www.linkedin.com/posts/indrajeetad_if-theres-one-thing-that-i-sincerely-despise-activity-7231656501608685577-eEWc/?utm_source=share&utm_medium=member_android	
Being Bayesian	Jaidev Deshpande	A fact-based, data-driven newsletter which critiques (and sometimes holds) outrageous opinions on economics, technology and culture.	https://www.beingbayesian.in/	
Jeyy’s Substack	Jeyy Laddha	A personal newsletter comprising trivialities of my existence	https://jeyy.substack.com/	
